# RTL_ID 22011200
#
# Events:
#    N - no event
#    E - exception
#    I - interrupt
#    W - wakeup
# =====================================================================================
# : Core Reset
# =====================================================================================
# Test: xor.hex
#           Time   Ev  Curr_PC    Instr      Next_PC    Reg        Value     
# =====================================================================================
               3   N   00000000   00000000   0000a000   ---        --------
               6   N   0000a000   0000e101   0000a004   x10_a0     00000000
               7   N   0000a004   00004e01   0000a006   ---        --------
               8   N   0000a006   ffff7297   0000a008   x28_t3     00000000
               9   N   0000a008   8b828293   0000a00c   x05_t0     00001008
              10   N   0000a00c   30529073   0000a010   x05_t0     000008c0
              11   N   0000a010   00004505   0000a014   ---        --------
              12   N   0000a014   0000057e   0000a016   x10_a0     00000001
              13   N   0000a016   00054863   0000a018   x10_a0     80000000
              14   N   0000a018   0ff0000f   0000a028   ---        --------
              17   N   0000a028   00028f63   0000a02c   x05_t0     00000000
              18   N   0000a02c   10529073   0000a04a   ---        --------
              22   N   0000a04a   00020297   0000a04e   ---        --------
              23   N   0000a04e   00000297   0000a04e   ---        --------
              24   N   0000a04e   30008293   0000a052   x05_t0     0000a04e
              26   N   0000a052   00009073   0000a056   x05_t0     0000a08a
              28   N   0000a056   03c22573   0000a05a   ---        --------
              30   N   0000a05a   34120073   0000a05e   x10_a0     00000000
              33   N   0000a05e   00000000   0000a08a   ---        --------
              37   N   0000a08a   30208093   0000a08e   x01_ra     ff010000
              39   N   0000a08e   ff011137   0000a092   x01_ra     ff00ff00
              41   N   0000a092   f0000113   0000a096   x02_sp     0f0f1000
              43   N   0000a096   0f0fc1b3   0000a09a   x02_sp     0f0f0f0f
              45   N   0000a09a   f0f1feb7   0000a09e   x03_gp     f00ff00f
              47   N   0000a09e   00000ebd   0000a0a2   x29_t4     f00ff000
              48   N   0000a0a2   00004e09   0000a0a4   x29_t4     f00ff00f
              49   N   0000a0a4   3bd19663   0000a0a6   x28_t3     00000002
              50   N   0000a0a6   4e0910b7   0000a0aa   ---        --------
              52   N   0000a0aa   000010c1   0000a0ae   x01_ra     0ff01000
              53   N   0000a0ae   f0f0f137   0000a0b0   x01_ra     0ff00ff0
              54   N   0000a0b0   0000616d   0000a0b4   x02_sp     f0f0f000
              55   N   0000a0b4   0020c1b3   0000a0b6   x02_sp     f0f0f0f0
              56   N   0000a0b6   616d0eb7   0000a0ba   x03_gp     ff00ff00
              58   N   0000a0ba   00208e93   0000a0be   x29_t4     ff010000
              60   N   0000a0be   00004e0d   0000a0c2   x29_t4     ff00ff00
              61   N   0000a0c2   39d19763   0000a0c4   x28_t3     00000003
              62   N   0000a0c4   00ff00b7   0000a0c8   ---        --------
              63   N   0000a0c8   0ff08093   0000a0cc   x01_ra     00ff0000
              64   N   0000a0cc   0f0f1137   0000a0d0   x01_ra     00ff00ff
              65   N   0000a0d0   f0f10113   0000a0d4   x02_sp     0f0f1000
              66   N   0000a0d4   0020c1b3   0000a0d8   x02_sp     0f0f0f0f
              67   N   0000a0d8   0ff01eb7   0000a0dc   x03_gp     0ff00ff0
              68   N   0000a0dc   00001ec1   0000a0e0   x29_t4     0ff01000
              69   N   0000a0e0   00004e11   0000a0e2   x29_t4     0ff00ff0
